"Status","Name","Duration in ms","Description"
"passed","test.groups.test_add_group.test_add_group[None:Name:Logoi:CommentE55Pa20L285F 6 k vsrxu mz 73Z 9oMSB pY]","2909",""
"passed","test.contacts.test_add_contact.test_add_contact[None:firstnameQngIJ:lastnameOPLPz:addressU nf5GnmDiy7 vb S s:None:(None,)]","8241",""
"passed","test.groups.test_add_group.test_add_group[None:Name  YVpF iL5:Logo qezvcTuC  r w8:CommentwKM5gpfbAxgv]","2630",""
"passed","test.groups.test_add_group.test_add_group[None:NameE:Logo3no :CommentMt Yr QnZbpksvl U3X9pQClzPmvyq TA0C ]","2202",""
"passed","test.groups.test_db_matches_ui.test_group_list","7211",""
"passed","test.contacts.test_add_contact.test_add_contact[None:firstnameTuODF :lastname4H:addressgnpQdAOX k3S iLo yx7JGweR vy0dC4SO0T zPo:None:(None,)]","10058",""
"passed","test.groups.test_add_group.test_add_group[None:Name9hK zj:Logo:CommentQ]","2170",""
"passed","test.groups.test_delete_group.test_delete_group","1328",""
"passed","test.groups.test_add_group.test_add_group[None:Name1  VX IC:Logo U:CommentfAU yl28tLZRRr n gj Ax8r LYJeHM]","2309",""
"passed","test.contacts.test_verify_contact_from_list.test_verify_contact_from_list","15052",""
"passed","test.contacts.test_add_contact.test_add_contact[None:firstnameH aACA:lastnameAtGql:address0LP6b 86 C175oW HcM I ZO7uxPMEG yqK:None:(None,)]","8205",""
"passed","test.contacts.test_add_contact.test_add_contact[None:4:4:4:None:(None,)]","20815",""
"passed","test.contacts.test_delete_contact.test_delete_contact","2180",""
"failed","test.contacts.test_delete_contact_from_group.test_add_contact_to_group","7754",""
"passed","test.contacts.test_add_contact_to_group.test_add_contact_to_group","3827",""
"passed","test.groups.test_add_group.test_add_group[None:NameZiB:LogoI5Kdw1FZ ffJjNM5 :CommentLTtpHQ k]","2270",""
"passed","test.contacts.test_edit_contact.test_edit_contact","4872",""
"passed","test.groups.test_add_group.test_add_group[None:Name:LogotuAxgCtq:CommentJWLCr 1 F tF  c N HXD Aye04y7czsy0z]","2360",""
"passed","test.groups.test_add_group.test_add_group[None:Name IWhMZ2cR:LogoLJ6y:CommentAhV  IZVe   fMAZsTpu6HH pUbMgC2foknI]","2368",""
"passed","test.contacts.test_db_matches_ui.test_group_list","7239",""
"passed","test.groups.test_edit_group.test_edit_group","2956",""
"passed","test.groups.test_add_group.test_add_group[None:4:4:4]","3291",""
